id,area,asymptomatic,asymptomaticRelative,confirmed,confirmedRelative,crued,curConfirm,curConfirmRelative,curedRelative,died,diedRelative,icuDisable,nativeRelative,overseasInputRelative
1,西藏,0,0,1,0,1,0,0,0,0,0,1,0,0
2,澳门,0,0,79,0,79,0,0,0,0,0,1,0,0
3,青海,0,0,30,0,30,0,0,0,0,0,1,0,0
4,台湾,0,0,18414,89,13742,3821,89,0,851,0,1,0,0
5,香港,0,0,13104,70,12602,289,40,30,213,0,1,0,0
6,贵州,0,0,160,0,158,0,0,0,2,0,1,0,0
7,吉林,0,0,590,0,586,1,0,0,3,0,1,0,0
8,新疆,24,22,989,8,978,8,8,0,3,0,1,8,0
9,宁夏,0,0,122,0,122,0,0,0,0,0,1,0,0
10,内蒙古,0,0,1191,0,1190,0,0,0,1,0,1,0,0
11,甘肃,0,0,356,0,354,0,0,0,2,0,1,0,0
12,天津,11,1,1015,3,761,251,-74,77,3,0,1,1,2
13,山西,0,0,267,0,265,2,0,0,0,0,1,0,0
14,辽宁,37,1,811,1,800,9,0,1,2,0,1,1,0
15,黑龙江,9,9,2039,4,2022,4,4,0,13,0,1,4,0
16,海南,0,0,190,0,184,0,0,0,6,0,1,0,0
17,河北,0,0,1464,3,1451,6,3,0,7,0,1,3,0
18,陕西,0,0,2826,0,2605,218,-57,57,3,0,1,0,0
19,云南,148,7,1867,4,1806,59,1,3,2,0,1,0,4
20,广西,151,3,700,5,506,192,-1,6,2,0,1,0,5
21,福建,21,1,1453,0,1375,77,-10,10,1,0,1,0,0
22,上海,23,0,3679,11,3281,391,-2,13,7,0,1,1,10
23,北京,91,6,1294,20,1209,76,20,0,9,0,1,17,3
24,江苏,12,0,1629,0,1627,2,-1,1,0,0,1,0,0
25,四川,22,1,1372,0,1324,45,-2,2,3,0,1,0,0
26,山东,8,0,1070,0,1037,26,0,0,7,0,1,0,0
27,江西,1,0,959,0,958,0,0,0,1,0,1,0,0
28,重庆,3,1,611,0,605,0,0,0,6,0,1,0,0
29,安徽,2,0,1009,0,1003,0,0,0,6,0,1,0,0
30,湖南,4,1,1230,0,1208,18,0,0,4,0,1,0,0
31,河南,5,0,2643,3,1745,876,-24,27,22,0,1,3,0
32,广东,75,6,3726,2,3499,219,-5,7,8,0,1,0,2
33,浙江,134,1,2114,3,1842,271,3,0,1,0,1,0,3
34,湖北,10,0,68320,0,63805,3,0,0,4512,0,1,0,0
