id,area,asymptomatic,asymptomaticRelative,confirmed,confirmedRelative,crued,curConfirm,curConfirmRelative,curedRelative,died,diedRelative,icuDisable,nativeRelative,overseasInputRelative
1,西藏,0,0,1,0,1,0,0,0,0,0,1,0,0
2,澳门,0,0,79,0,79,0,0,0,0,0,1,0,0
3,青海,0,0,30,0,30,0,0,0,0,0,1,0,0
4,台湾,0,0,19192,48,13742,4599,48,0,851,0,1,0,0
5,香港,0,0,15026,361,13232,1581,254,107,213,0,1,0,0
6,贵州,0,0,161,0,158,1,0,0,2,0,1,0,0
7,吉林,0,0,592,0,586,3,0,0,3,0,1,0,0
8,新疆,16,0,996,0,986,7,-2,2,3,0,1,0,0
9,宁夏,0,0,122,0,122,0,0,0,0,0,1,0,0
10,内蒙古,0,0,1191,0,1190,0,0,0,1,0,1,0,0
11,甘肃,0,0,356,0,354,0,0,0,2,0,1,0,0
12,天津,1,0,1084,2,1025,56,-3,5,3,0,1,1,1
13,山西,0,0,268,0,266,2,0,0,0,0,1,0,0
14,辽宁,12,0,813,1,807,4,1,0,2,0,1,1,0
15,黑龙江,51,2,2064,0,2022,29,0,0,13,0,1,0,0
16,海南,0,0,190,0,184,0,0,0,6,0,1,0,0
17,河北,0,0,1476,0,1451,18,0,0,7,0,1,0,0
18,陕西,0,0,2826,0,2823,0,0,0,3,0,1,0,0
19,云南,93,4,1884,0,1841,41,-2,2,2,0,1,0,0
20,广西,159,9,826,65,619,205,41,24,2,0,1,64,1
21,福建,31,0,1460,0,1423,36,-2,2,1,0,1,0,0
22,上海,8,0,3841,15,3599,235,1,14,7,0,1,0,15
23,北京,292,8,1364,1,1252,103,-3,4,9,0,1,0,1
24,江苏,11,0,1631,0,1629,2,0,0,0,0,1,0,0
25,四川,38,4,1380,3,1357,20,1,2,3,0,1,0,3
26,山东,14,0,1075,0,1048,20,0,0,7,0,1,0,0
27,江西,1,0,959,0,958,0,0,0,1,0,1,0,0
28,重庆,10,3,613,0,605,2,0,0,6,0,1,0,0
29,安徽,0,0,1009,0,1003,0,0,0,6,0,1,0,0
30,湖南,3,0,1231,0,1217,10,0,0,4,0,1,0,0
31,河南,4,0,2662,1,2300,340,-48,49,22,0,1,0,1
32,广东,95,11,3859,18,3664,187,9,9,8,0,1,0,18
33,浙江,108,0,2241,0,1871,369,0,0,1,0,1,0,0
34,湖北,3,1,68320,0,63808,0,0,0,4512,0,1,0,0
