id,area,asymptomatic,asymptomaticRelative,confirmed,confirmedRelative,crued,curConfirm,curConfirmRelative,curedRelative,died,diedRelative,icuDisable,nativeRelative,overseasInputRelative
1,西藏,0,0,1,0,1,0,0,0,0,0,1,0,0
2,澳门,0,0,79,0,79,0,0,0,0,0,1,0,0
3,青海,0,0,30,0,30,0,0,0,0,0,1,0,0
4,台湾,0,0,18735,101,13742,4142,101,0,851,0,1,0,0
5,香港,0,0,13613,80,12730,670,60,20,213,0,1,0,0
6,贵州,0,0,161,0,158,1,0,0,2,0,1,0,0
7,吉林,0,0,591,0,586,2,0,0,3,0,1,0,0
8,新疆,32,3,996,0,978,15,0,0,3,0,1,0,0
9,宁夏,0,0,122,0,122,0,0,0,0,0,1,0,0
10,内蒙古,0,0,1191,0,1190,0,0,0,1,0,1,0,0
11,甘肃,0,0,356,0,354,0,0,0,2,0,1,0,0
12,天津,7,0,1030,4,927,100,-27,31,3,0,1,4,0
13,山西,0,0,268,0,265,3,0,0,0,0,1,0,0
14,辽宁,23,3,812,0,801,9,0,0,2,0,1,0,0
15,黑龙江,40,12,2063,8,2022,28,8,0,13,0,1,8,0
16,海南,0,0,190,0,184,0,0,0,6,0,1,0,0
17,河北,0,0,1469,0,1451,11,0,0,7,0,1,0,0
18,陕西,0,0,2826,0,2773,50,-37,37,3,0,1,0,0
19,云南,119,3,1881,4,1815,64,-1,5,2,0,1,1,3
20,广西,154,3,710,2,552,156,-12,14,2,0,1,0,2
21,福建,17,1,1454,1,1391,62,-4,5,1,0,1,0,1
22,上海,19,0,3737,10,3425,305,-20,30,7,0,1,0,10
23,北京,150,8,1344,26,1227,108,20,6,9,0,1,23,3
24,江苏,9,1,1630,0,1628,2,-1,1,0,0,1,0,0
25,四川,21,3,1374,1,1329,42,-2,3,3,0,1,0,1
26,山东,10,0,1072,0,1042,23,-2,2,7,0,1,0,0
27,江西,2,0,959,0,958,0,0,0,1,0,1,0,0
28,重庆,6,0,613,0,605,2,0,0,6,0,1,0,0
29,安徽,2,0,1009,0,1003,0,0,0,6,0,1,0,0
30,湖南,4,0,1230,0,1211,15,-2,2,4,0,1,0,0
31,河南,10,1,2653,4,1944,687,-34,38,22,0,1,2,2
32,广东,105,11,3745,2,3533,204,-3,5,8,0,1,0,2
33,浙江,95,4,2186,27,1866,319,27,0,1,0,1,24,3
34,湖北,8,0,68320,0,63807,1,0,0,4512,0,1,0,0
