id,area,confirmed,confirmedRelative,crued,curConfirm,curConfirmRelative,curedPercent,curedRelative,died,diedPercent,diedRelative,icuDisable
1,汤加王国,1,0,0,1,0,0.0%,0,0,0.0%,0,1
2,韩国,390719,2520,356615,31053,2499,91.3%,0,3051,0.8%,21,1
3,帕劳共和国,8,0,8,0,0,100.0%,0,0,0.0%,0,1
4,圣赫勒拿,2,0,2,0,0,100.0%,0,0,0.0%,0,1
5,密克罗尼西亚,1,0,1,0,0,100.0%,0,0,0.0%,0,1
6,萨摩亚独立国,3,0,3,0,0,100.0%,0,0,0.0%,0,1
7,瓦努阿图共和国,6,0,3,2,0,50.0%,0,1,16.7%,0,1
8,马尔维纳斯群岛,72,0,68,4,0,94.4%,0,0,0.0%,0,1
9,马绍尔群岛,4,0,4,0,0,100.0%,0,0,0.0%,0,1
10,瓦利斯和富图纳群岛,445,0,438,0,0,98.4%,0,7,1.6%,0,1
11,所罗门群岛,20,0,20,0,0,100.0%,0,0,0.0%,0,1
12,莱索托,21687,2,13038,7989,0,60.1%,69,660,3.0%,1,1
13,科摩罗,4352,3,4120,84,0,94.7%,3,148,3.4%,1,1
14,塔吉克斯坦,17090,0,16962,4,0,99.3%,0,124,0.7%,0,1
15,海峡群岛,14379,117,13197,1082,79,91.8%,38,100,0.7%,0,1
16,阿拉伯联合酋长国,740729,82,735270,3317,0,99.3%,97,2142,0.3%,0,1
17,也门,9907,16,6612,1375,0,66.7%,41,1920,19.4%,5,1
18,圣皮埃尔,32,0,32,0,0,100.0%,0,0,0.0%,0,1
19,圣多美和普林西比,3730,0,3648,26,0,97.8%,5,56,1.5%,0,1
20,南苏丹,12546,29,12169,244,29,97.0%,0,133,1.1%,0,1
21,马拉维,61834,11,58522,1010,0,94.6%,102,2302,3.7%,0,1
22,布隆迪,20200,30,773,19389,30,3.8%,0,38,0.2%,0,1
23,塞拉利昂,6396,0,4393,1882,0,68.7%,0,121,1.9%,0,1
24,博茨瓦纳,193701,0,190577,713,0,98.4%,0,2411,1.2%,0,1
25,百慕大,5688,0,5520,62,0,97.0%,0,106,1.9%,0,1
26,英属维尔京群岛,2725,0,2649,39,0,97.2%,0,37,1.4%,0,1
27,安圭拉,1109,0,1023,83,0,92.2%,0,3,0.3%,0,1
28,格林纳达,5863,0,5587,76,0,95.3%,0,200,3.4%,0,1
29,圣基茨和尼维斯,2735,5,2617,91,0,95.7%,8,27,1.0%,0,1
30,特克斯和凯科斯群岛,3030,0,2944,63,0,97.2%,0,23,0.8%,0,1
31,几内亚比绍,6263,53,5889,231,0,94.0%,82,143,2.3%,0,1
32,马里,16562,58,14785,1195,48,89.3%,8,582,3.5%,2,1
33,利比亚,363483,568,313090,45135,0,86.1%,1617,5258,1.4%,17,1
34,老挝,50977,1139,6558,44326,1137,12.9%,0,93,0.2%,2,1
35,伯利兹,28749,167,26163,2056,0,91.0%,222,530,1.8%,11,1
36,缅甸,510725,2134,482007,9836,320,94.4%,1787,18882,3.7%,27,1
37,多米尼克,5235,28,4838,363,26,92.4%,2,34,0.6%,0,1
38,莫桑比克,151410,8,149349,127,-20,98.6%,28,1934,1.3%,0,1
39,叙利亚,45820,0,27398,15772,0,59.8%,0,2650,5.8%,0,1
40,马恩岛,10159,53,9701,394,53,95.5%,0,64,0.6%,0,1
41,巴布亚新几内亚,32378,99,30269,1694,0,93.5%,346,415,1.3%,0,1
42,厄立特里亚,7013,34,6826,139,0,97.3%,42,48,0.7%,1,1
43,乌干达,126763,49,96959,26570,26,76.5%,20,3234,2.6%,3,1
44,安哥拉,64857,53,61283,1849,15,94.5%,38,1725,2.7%,0,1
45,东帝汶,19809,2,19674,13,0,99.3%,2,122,0.6%,0,1
46,新喀里多尼亚,11506,40,55,11179,39,0.5%,0,272,2.4%,1,1
47,马达加斯加,43672,40,41322,1386,40,94.6%,0,964,2.2%,0,1
48,津巴布韦,133329,60,128231,404,22,96.2%,35,4694,3.5%,3,1
49,佛得角,38287,14,37840,97,13,98.8%,1,350,0.9%,0,1
50,蒙特塞拉特,41,0,38,2,0,92.7%,0,1,2.4%,0,1
51,海地,24233,0,20551,2980,0,84.8%,0,702,2.9%,0,1
52,尼日尔,6626,20,6183,214,2,93.3%,18,229,3.5%,0,1
