1,
2,成都之谜不是谜，北京日报这个梳理好清晰！病例6超级病毒链条全方位锁定，成都稳了。#成都出现1传13特殊案例#【#成都本土1传13关系图#】@北京日报 梳理发现，23名确诊病例中，12名为病例6的密接者，其中包括4名家人（妻子、女儿、岳父母）、4名同事和4名同楼栋邻居（成华区理工东苑小区西区）。此外 ...
3,#平安沈阳# 【迎雪战“疫”铸警魂 坚守沈城“南大门”】11月7日晚，沈城迎来入冬首场暴雪。就在大家忘雪兴叹、归心似箭的时候，有这么一群人顶风冒雪斗严寒，战斗在抗疫第一线，坚守在沈城“南大门”，只为了守护沈城人民安康。
4,#辽宁好网民抗疫在行动#【辽宁盘锦5人曾在京与吉林本土确诊病例密接，轨迹公布】2021年11月10日12时，盘锦市接到协查信息，提及2021年11月10日，吉林市报告一例本土确诊病例，10月21日-11月6日在北京朝阳区出差期间的5名密切接触者现在我市，相关县区立即开展调查追踪，目前5名密切接触者已集中隔离，初次核酸检测结果均为阴性。经流行病学调查，5名密切接触者在盘锦活动轨迹如下：密接1：11月6日12：21乘坐G497于15：32到达盘锦北站。私家车接站，16:50-17:42在盘锦市中心医院做核酸检测后回到河畔小区福区11号楼家中后未外出。11月7日居家未外出。11月8日13：45--13：50到河畔小区福区巧巧图文照相。11月9日居家未接触他人。11月10日10:20--10:50左右自驾到盘锦市中心医院做核酸检测。密接2：11月6日12：21乘坐G497于15：32到达盘锦北站。私家车接站。16:50-17:42在盘锦市中心医院做核酸检测后回到瀚新小区学府园43号楼家中后未外出。11月7日10：00-12:00左右在开车到辽河湿地公园散步。18：00-18:20瀚新小区楼下小马超市购物。11月8日居家未外出。11月9日10：30--11：00开车到辽河湿地公园散步。18：00-18:10在瀚新小区南门益民蔬菜水果便利店购物。11月10日8:00左右前往盘锦市中心医院进行核酸检测。密接3：11月9日乘坐G379次列车于20:30到达盘锦站，出站后乘坐出租车到馨悦小区门口下车。21:20左右接孩子放学（未下车），22:10左右到辽油宝石花医院做核酸检测。11月10日早6:40驾车送孩子上学（未下车），后返回家中未外出。密接4：11月9日15：43乘G379列车于20：30到达盘锦站，与密接3同行，22:10左右到辽油宝石花医院做核酸检测。22：54在小区的金米丽饭店买炸串后返回总部生态城泰郡1期13号楼家中。11月10日10:00，福润超市取快递。密接5：11月6日12：21乘坐G497于15：32到达盘锦北站。私家车接站，16:50-17:42在盘锦市中心医院做核酸检测后返回田家筑景地中海15号楼家中后未外出。11月7日11:00左右自驾去兴隆台润德苑小区妹妹家，13:00-15:00左右在兴隆台区松林路宽板凳老灶火锅就餐。随后去雪佛兰4S店做车保养。16：20到辽河中路的中石化加油站加油。11月8日11:00左右乘坐电梯下楼扔垃圾。18:00左右下楼在小区内散步。11月9日11:00小区内的东方红药房买膏药。11:10-11:20左右去楼下旺达超市但无购物。14:00左右楼下小广场散步30分钟。15:40-15:50骑电动车去壹号公馆附近的联华超市购物。11月10日10:20--10:50自驾去盘锦市中心医院做核酸检测。12:00到家后再未外出。请上述时间段与以上密接同时空可能接触的人员，第一时间主动向所在村屯（社区）进行报备，第一时间进行一次核酸检测，并配合村屯（社区）落实好相关疫情防控措施。一旦出现发热、干咳、乏力、咽痛、嗅（味）觉减退、腹泻等症状，请立即到就近的发热门诊就诊，主动如实告知个人活动史及可能接触史等，检测就诊过程中应全程佩戴口罩，就医途中避免乘坐公共交通工具。对瞒报、谎报造成疫情扩散等严重后果的，将依法追究责任。疫情尚未结束，防控意识不能放松，请广大市民关注官方权威发布，不信谣、不传谣、不造谣；不扎堆、不聚集、勤洗手、多通风，做好自我防护，规范佩戴口罩，保持社交距离；完成新冠病毒疫苗全程免疫及加强免疫。#辽宁新增21例本土确诊#
5,#韩国危重病例数创新高#我去年一月就说了，这病不能只研究一个角度，比如可以研究植物有效成分，研究负氧离子作用，研究气象，研究紫外线，研究潮湿阴冷环境容易生病的原理，研制非一次性更环保口罩，研究历史瘟疫比如西班牙流感后来如何恢复正常，多修点通风好的植物多的医院全世界医生更安全，需要各行业精英献计献策，我相信各行业精英起码大学生，起码的物理化学知识还是有，交流一下应该不会出太多笑话，反而对控制疫情有帮助。其实很多病都可以全世界各行业精英一起研究，比如我小学哮喘病危过但去附近人少的公园反而缓解了，包括我现在咽喉炎有时候痰多去没有人的公园就少一些，包括有时候冬天晒太阳身体也会很舒服。。。所以对付病毒或者细菌，真菌，可以研究的是比较广的范围#身体健康##全球疫情#
6,【紧急通知！关于调整考点城市】11月10日，辽宁省人事考试中心发布通知，中央机关及其直属机构2022年度考试录用公务员笔试选择考点城市为大连市的考生，须登录系统重新确认。根据辽宁省疫情防控工作需要，经研究决定，在大连市增设专业科目和非通用语职位考试考点，报考相关岗位的考生可以选择在大连市参加考试。辽宁考区成功缴费的考生可根据疫情管控要求及考前14天旅居史等情况重新选择考点城市（沈阳市、大连市）。现将有关事项通知如下↓
7,【民航局对这两个飞上海的国际航班实施熔断措施】#最新# 民航局最新通报，10月26日德国汉莎航空公司LH728航班（法兰克福至上海）确诊新冠肺炎旅客5例，10月29日俄罗斯航空公司SU208航班（莫斯科至上海）确诊新冠肺炎旅客5例。根据《民航局关于国际定期客运航班熔断措施调整试行的通知》（民航函〔202 ...
8,#小布正能量#【风雪中 “大白”秒变最美“推手”】11月7日22点，在甘井子区完成了12个小时的核酸采集任务后，市口腔医院的15名医护踏上了返程的大巴。大巴车途经一处弯道坡路，因为地面结冰，轮胎在冰面打转无法正常行驶，于是医护们就说服司机师傅让大伙儿下去帮忙推车。15名队员顶风冒雪，化身成“推手”，经过几轮艰难的尝试，大巴车终于驶出弯道。医护人员看到后面同样上不去弯道的私家车，再一次化身最美“推手”将私家车推了上去才离开。虽然又累又冷，但是队员们没有一个人抱怨，更没有一个人叫苦叫累。（资料：大连市口腔医院 文字：莲钰蓉 图片：由受访单位提供提供）#大连战疫##辽宁好网民抗疫在行动# 大连发布的微博视频
9,#茶颜悦色临时关闭长沙七八十家门店#【#茶颜悦色回应集中临时闭店#：还撑得住，会多做正确决定】针对长沙部分门店临时关闭的情况，@茶颜悦色官方微博 11月10日下午发文称，最近这次集中临时闭店，是茶颜悦色今年第三次集中临时闭店。第一次是年初的就地过年，第二次是七月底疫情反复。茶颜悦色表示，“我们还撑得住。接下来我们会竭尽最大的努力，多做正确的决定，少犯错误，我们还在熬着等春暖花开呢。”
10,#急寻11月7日G3649次乘客#【辽宁疾控刚刚发布！紧急提醒！11月7日乘坐G3649次高铁的人员请注意！】11月10日，吉林省吉林市新增1例本土确诊病例（系省外返吉人员），其11月7日乘坐G3649次高铁（4车13F）返回吉林市，目前在辽人员如与其为同乘人员，请及时报备，并配合落实防控措施。疫情形势复杂严峻，严格落实各项管控措施，做到人、物、环境同防。为保护全省人民的生命健康安全，省疾控中心紧急提醒广大居民要做到：一、请及时关注所在地区疫情形势变化及防控要求，有涉疫地区旅居史、与病例活动轨迹重叠的人员须主动报备，或发现健康码变为“红码”或“黄码”的人员，配合做好信息登记、核酸检测、隔离、消毒等防控措施的落实。二、少流动，少聚集，近期非必要不离辽、不前往国内中高风险地区和报告阳性病例地区，不与来自中高风险地区及健康状况不明的人员接触。三、建议从外省来（返）辽以及近期有报告阳性病例地区旅居史的人员，及早做1次核酸检测，并自我健康监测14天；如有发热、乏力、干咳、咽痛、嗅（味）觉减退、腹泻等不适症状，应避免乘坐公共交通工具并前往医疗机构发热门诊就诊。四、个人防护中要做到正确佩戴口罩，谨记以下六个事项，才能让口罩发挥真正的防护作用：一是要戴对。确保口罩盖住口鼻和下巴，鼻夹压实。二是佩戴时间。口罩出现脏污、变形、损坏、异味时需及时更换，每个口罩累计佩戴时间不超过8小时。三是特殊情况下不要重复用。在跨地区公共交通工具上，或医院等环境使用过的口罩不建议重复使用。四是口罩的重复使用。需重复使用的口罩在不使用时宜悬挂于清洁、干燥、通风处。五是口罩使用。戴口罩期间如出现憋闷、气短等不适，应立即前往空旷通风处摘除口罩。六是口罩存放。外出要携带备用口罩，存放在原包装袋或干净的存放袋中，避免挤压变形，废弃口罩归为其他垃圾处理。
