id,area,confirmed,confirmedRelative,crued,curConfirm,curConfirmRelative,curedPercent,curedRelative,died,diedPercent,diedRelative,icuDisable
1,汤加王国,1,0,1,0,0,100.0%,0,0,0.0%,0,1
2,韩国,436968,3899,390141,43335,2160,89.3%,1700,3492,0.8%,39,1
3,帕劳共和国,8,0,8,0,0,100.0%,0,0,0.0%,0,1
4,圣赫勒拿,2,0,2,0,0,100.0%,0,0,0.0%,0,1
5,密克罗尼西亚,1,0,1,0,0,100.0%,0,0,0.0%,0,1
6,萨摩亚独立国,3,0,3,0,0,100.0%,0,0,0.0%,0,1
7,瓦努阿图共和国,6,0,3,2,0,50.0%,0,1,16.7%,0,1
8,马尔维纳斯群岛,79,0,68,11,0,86.1%,0,0,0.0%,0,1
9,马绍尔群岛,4,0,4,0,0,100.0%,0,0,0.0%,0,1
10,瓦利斯和富图纳群岛,445,0,438,0,0,98.4%,0,7,1.6%,0,1
11,所罗门群岛,20,0,20,0,0,100.0%,0,0,0.0%,0,1
12,莱索托,21755,20,13657,7436,0,62.8%,56,662,3.0%,0,1
13,科摩罗,4489,7,4273,66,0,95.2%,14,150,3.3%,0,1
14,塔吉克斯坦,17095,0,16966,5,0,99.2%,0,124,0.7%,0,1
15,海峡群岛,17326,210,15135,2088,13,87.4%,197,103,0.6%,0,1
16,阿拉伯联合酋长国,741858,68,736699,3014,0,99.3%,98,2145,0.3%,0,1
17,也门,9981,4,6829,1207,0,68.4%,25,1945,19.5%,2,1
18,圣皮埃尔,59,0,32,27,0,54.2%,0,0,0.0%,0,1
19,圣多美和普林西比,3731,0,3675,0,0,98.5%,0,56,1.5%,0,1
20,南苏丹,12717,0,12395,189,0,97.5%,0,133,1.0%,0,1
21,马拉维,61889,14,58763,822,14,94.9%,0,2304,3.7%,0,1
22,布隆迪,20386,26,773,19575,26,3.8%,0,38,0.2%,0,1
23,塞拉利昂,6401,1,4393,1887,1,68.6%,0,121,1.9%,0,1
24,博茨瓦纳,194909,0,191961,532,0,98.5%,0,2416,1.2%,0,1
