id,area,asymptomatic,asymptomaticRelative,confirmed,confirmedRelative,crued,curConfirm,curConfirmRelative,curedRelative,died,diedRelative,icuDisable,nativeRelative,overseasInputRelative
1,西藏,0,0,1,0,1,0,0,0,0,0,1,0,0
2,澳门,0,0,79,0,77,2,0,0,0,0,1,0,0
3,青海,0,0,30,0,30,0,0,0,0,0,1,0,0
4,台湾,0,0,17951,66,13742,3358,66,0,851,0,1,0,0
5,香港,0,0,12873,6,12446,214,-24,30,213,0,1,0,0
6,贵州,0,0,160,0,158,0,0,0,2,0,1,0,0
7,吉林,0,0,590,0,585,2,0,0,3,0,1,0,0
8,新疆,0,0,981,0,978,0,0,0,3,0,1,0,0
9,宁夏,0,0,122,0,122,0,0,0,0,0,1,0,0
10,内蒙古,0,0,1191,0,1190,0,0,0,1,0,1,0,0
11,甘肃,0,0,356,0,354,0,0,0,2,0,1,0,0
12,天津,53,0,976,14,567,406,14,0,3,0,1,14,0
13,山西,0,0,266,0,265,1,0,0,0,0,1,0,0
14,辽宁,42,0,810,0,797,11,-1,1,2,0,1,0,0
15,黑龙江,0,0,2035,0,2022,0,0,0,13,0,1,0,0
16,海南,0,0,190,0,184,0,0,0,6,0,1,0,0
17,河北,0,0,1458,0,1451,0,0,0,7,0,1,0,0
18,陕西,4,0,2823,0,2074,746,-112,112,3,0,1,0,0
19,云南,147,12,1850,1,1793,55,1,0,2,0,1,0,1
20,广西,167,4,690,2,466,222,-5,7,2,0,1,0,2
21,福建,23,1,1444,1,1346,97,-2,3,1,0,1,0,1
22,上海,25,0,3569,15,3093,469,2,13,7,0,1,0,15
23,北京,48,2,1236,6,1203,24,6,0,9,0,1,1,5
24,江苏,8,0,1629,0,1625,4,-1,1,0,0,1,0,0
25,四川,27,0,1363,2,1313,47,2,0,3,0,1,0,2
26,山东,3,0,1058,4,1033,18,2,2,7,0,1,0,4
27,江西,1,0,959,0,958,0,0,0,1,0,1,0,0
28,重庆,1,1,611,0,605,0,0,0,6,0,1,0,0
29,安徽,2,2,1009,0,1003,0,0,0,6,0,1,0,0
30,湖南,5,0,1230,0,1204,22,0,0,4,0,1,0,0
31,河南,3,0,2606,33,1614,970,30,3,22,0,1,33,0
32,广东,88,5,3684,9,3445,231,-4,13,8,0,1,7,2
33,浙江,137,9,2098,0,1842,255,0,0,1,0,1,0,0
34,湖北,14,1,68320,0,63805,3,-1,1,4512,0,1,0,0
