id,area,asymptomatic,asymptomaticRelative,confirmed,confirmedRelative,crued,curConfirm,curConfirmRelative,curedRelative,died,diedRelative,icuDisable,nativeRelative,overseasInputRelative
1,西藏,0,0,1,0,1,0,0,0,0,0,1,0,0
2,澳门,0,0,79,0,77,2,0,0,0,0,1,0,0
3,青海,0,0,30,0,30,0,0,0,0,0,1,0,0
4,台湾,0,0,17394,92,13742,2802,92,0,850,0,1,0,0
5,香港,0,0,12792,22,12284,295,-19,41,213,0,1,0,0
6,贵州,0,0,160,0,157,1,0,0,2,0,1,0,0
7,吉林,0,0,590,0,584,3,0,0,3,0,1,0,0
8,新疆,0,0,981,0,978,0,0,0,3,0,1,0,0
9,宁夏,0,0,122,0,122,0,0,0,0,0,1,0,0
10,内蒙古,0,0,1191,0,1185,5,0,0,1,0,1,0,0
11,甘肃,0,0,356,0,354,0,0,0,2,0,1,0,0
12,天津,51,7,657,32,541,113,32,0,3,0,1,28,4
13,山西,0,0,266,0,265,1,0,0,0,0,1,0,0
14,辽宁,20,0,802,2,793,7,1,1,2,0,1,0,2
15,黑龙江,1,0,2035,0,2022,0,0,0,13,0,1,0,0
16,海南,0,0,190,0,184,0,0,0,6,0,1,0,0
17,河北,0,0,1458,0,1451,0,0,0,7,0,1,0,0
18,陕西,6,0,2777,15,1084,1690,15,0,3,0,1,15,0
19,云南,130,9,1836,6,1762,72,5,1,2,0,1,0,6
20,广西,144,2,668,3,423,243,-2,5,2,0,1,0,3
21,福建,17,1,1415,5,1328,86,5,0,1,0,1,0,5
22,上海,22,0,3325,26,3001,317,16,10,7,0,1,0,26
23,北京,33,5,1218,0,1199,10,0,0,9,0,1,0,0
24,江苏,8,1,1627,0,1622,5,0,0,0,0,1,0,0
25,四川,31,0,1342,1,1302,37,-2,3,3,0,1,0,1
26,山东,6,0,1050,0,1020,23,-2,2,7,0,1,0,0
27,江西,1,0,959,0,958,0,0,0,1,0,1,0,0
28,重庆,2,0,611,0,605,0,0,0,6,0,1,0,0
29,安徽,0,0,1009,0,1003,0,0,0,6,0,1,0,0
30,湖南,8,0,1229,1,1199,26,1,0,4,0,1,0,1
31,河南,1,0,1983,103,1605,356,100,3,22,0,1,102,1
32,广东,137,11,3539,9,3377,154,7,2,8,0,1,1,8
33,浙江,121,3,2078,3,1542,535,3,0,1,0,1,0,3
34,湖北,31,2,68320,0,63804,4,0,0,4512,0,1,0,0
