id,area,confirmed,confirmedRelative,crued,curConfirm,curConfirmRelative,curedPercent,curedRelative,died,diedPercent,diedRelative,icuDisable
1,汤加王国,1,0,0,1,0,0.0%,0,0,0.0%,0,1
2,韩国,425065,2698,380377,41325,813,89.5%,1855,3363,0.8%,30,1
3,帕劳共和国,8,0,8,0,0,100.0%,0,0,0.0%,0,1
4,圣赫勒拿,2,0,2,0,0,100.0%,0,0,0.0%,0,1
5,密克罗尼西亚,1,0,1,0,0,100.0%,0,0,0.0%,0,1
6,萨摩亚独立国,3,0,3,0,0,100.0%,0,0,0.0%,0,1
7,瓦努阿图共和国,6,0,3,2,0,50.0%,0,1,16.7%,0,1
8,马尔维纳斯群岛,72,0,68,4,0,94.4%,0,0,0.0%,0,1
9,马绍尔群岛,4,0,4,0,0,100.0%,0,0,0.0%,0,1
10,瓦利斯和富图纳群岛,445,0,438,0,0,98.4%,0,7,1.6%,0,1
11,所罗门群岛,20,0,20,0,0,100.0%,0,0,0.0%,0,1
12,莱索托,21735,0,13601,7472,0,62.6%,0,662,3.0%,0,1
13,科摩罗,4466,9,4243,73,0,95.0%,13,150,3.4%,0,1
14,塔吉克斯坦,17095,0,16966,5,0,99.2%,0,124,0.7%,0,1
15,海峡群岛,16629,587,14559,1970,244,87.6%,343,100,0.6%,0,1
16,阿拉伯联合酋长国,741570,137,736333,3093,0,99.3%,170,2144,0.3%,0,1
17,也门,9967,6,6781,1244,0,68.0%,14,1942,19.5%,3,1
18,圣皮埃尔,44,0,32,12,0,72.7%,0,0,0.0%,0,1
19,圣多美和普林西比,3731,0,3675,0,0,98.5%,3,56,1.5%,0,1
20,南苏丹,12684,42,12169,382,42,95.9%,0,133,1.0%,0,1
21,马拉维,61865,2,58756,805,2,95.0%,0,2304,3.7%,0,1
22,布隆迪,20351,17,773,19540,17,3.8%,0,38,0.2%,0,1
23,塞拉利昂,6400,0,4393,1886,0,68.6%,0,121,1.9%,0,1
