id,area,asymptomatic,asymptomaticRelative,confirmed,confirmedRelative,crued,curConfirm,curConfirmRelative,curedRelative,died,diedRelative,icuDisable,nativeRelative,overseasInputRelative
1,西藏,0,0,1,0,1,0,0,0,0,0,1,0,0
2,澳门,0,0,79,0,79,0,0,0,0,0,1,0,0
3,青海,0,0,30,0,30,0,0,0,0,0,1,0,0
4,台湾,0,0,18681,115,13742,4088,115,0,851,0,1,0,0
5,香港,0,0,13533,83,12710,610,60,23,213,0,1,0,0
6,贵州,0,0,161,0,158,1,0,0,2,0,1,0,0
7,吉林,0,0,591,0,586,2,0,0,3,0,1,0,0
8,新疆,30,2,996,4,978,15,4,0,3,0,1,4,0
9,宁夏,0,0,122,0,122,0,0,0,0,0,1,0,0
10,内蒙古,0,0,1191,0,1190,0,0,0,1,0,1,0,0
11,甘肃,0,0,356,0,354,0,0,0,2,0,1,0,0
12,天津,7,0,1026,6,896,127,-27,33,3,0,1,5,1
13,山西,0,0,268,1,265,3,1,0,0,0,1,1,0
14,辽宁,31,2,812,1,801,9,0,1,2,0,1,0,1
15,黑龙江,40,12,2059,6,2022,24,6,0,13,0,1,6,0
16,海南,0,0,190,0,184,0,0,0,6,0,1,0,0
17,河北,0,0,1469,1,1451,11,1,0,7,0,1,1,0
18,陕西,0,0,2826,0,2765,58,-59,59,3,0,1,0,0
19,云南,134,3,1877,0,1810,65,-3,3,2,0,1,0,0
20,广西,151,0,708,2,538,168,-5,7,2,0,1,0,2
21,福建,17,1,1453,0,1386,66,-3,3,1,0,1,0,0
22,上海,19,0,3727,10,3395,325,-19,29,7,0,1,0,10
23,北京,144,10,1327,14,1221,97,3,9,9,0,1,14,0
24,江苏,9,0,1630,1,1627,3,1,0,0,0,1,0,1
25,四川,18,0,1373,0,1326,44,0,0,3,0,1,0,0
26,山东,10,1,1072,0,1040,25,-1,1,7,0,1,0,0
27,江西,2,0,959,0,958,0,0,0,1,0,1,0,0
28,重庆,6,1,613,1,605,2,1,0,6,0,1,0,1
29,安徽,2,0,1009,0,1003,0,0,0,6,0,1,0,0
30,湖南,4,0,1230,0,1209,17,0,0,4,0,1,0,0
31,河南,10,2,2649,1,1906,721,-77,78,22,0,1,1,0
32,广东,95,6,3743,6,3528,207,1,5,8,0,1,0,6
33,浙江,91,0,2163,22,1866,296,22,0,1,0,1,22,0
34,湖北,8,0,68320,0,63807,1,-1,1,4512,0,1,0,0
