id,area,asymptomatic,asymptomaticRelative,confirmed,confirmedRelative,crued,curConfirm,curConfirmRelative,curedRelative,died,diedRelative,icuDisable,nativeRelative,overseasInputRelative
1,西藏,0,0,1,0,1,0,0,0,0,0,1,0,0
2,澳门,0,0,79,0,79,0,0,0,0,0,1,0,0
3,青海,0,0,30,0,30,0,0,0,0,0,1,0,0
4,台湾,0,0,19567,112,13742,4974,112,0,851,0,1,0,0
5,香港,0,0,16719,136,14183,2317,-13,146,219,3,1,0,0
6,贵州,0,0,162,0,159,1,0,0,2,0,1,0,0
7,吉林,0,0,594,0,587,4,0,0,3,0,1,0,0
8,新疆,3,0,996,0,990,3,-1,1,3,0,1,0,0
9,宁夏,0,0,122,0,122,0,0,0,0,0,1,0,0
10,内蒙古,0,0,1191,0,1190,0,0,0,1,0,1,0,0
11,甘肃,0,0,356,0,354,0,0,0,2,0,1,0,0
12,天津,0,0,1088,1,1048,37,0,1,3,0,1,1,0
13,山西,0,0,268,0,266,2,0,0,0,0,1,0,0
14,辽宁,11,2,858,11,809,47,9,2,2,0,1,11,0
15,黑龙江,42,0,2065,0,2030,22,-4,4,13,0,1,0,0
16,海南,0,0,190,0,184,0,0,0,6,0,1,0,0
17,河北,0,0,1476,0,1454,15,-2,2,7,0,1,0,0
18,陕西,0,0,2826,0,2823,0,0,0,3,0,1,0,0
19,云南,81,4,1887,2,1854,31,-4,6,2,0,1,2,0
20,广西,154,2,996,18,635,359,10,8,2,0,1,13,5
21,福建,37,1,1488,1,1435,52,-5,6,1,0,1,0,1
22,上海,1,0,3886,9,3683,196,-2,11,7,0,1,0,9
23,北京,241,0,1367,2,1298,60,-10,12,9,0,1,0,2
24,江苏,10,0,1631,0,1630,1,-1,1,0,0,1,0,0
25,四川,35,2,1387,1,1361,23,1,0,3,0,1,0,1
26,山东,22,9,1080,1,1052,21,0,1,7,0,1,0,1
27,江西,1,0,959,0,958,0,0,0,1,0,1,0,0
28,重庆,10,0,613,0,605,2,0,0,6,0,1,0,0
29,安徽,0,0,1009,0,1003,0,0,0,6,0,1,0,0
30,湖南,2,0,1231,0,1220,7,0,0,4,0,1,0,0
31,河南,13,4,2662,0,2484,156,-36,36,22,0,1,0,0
32,广东,145,10,3945,20,3698,239,15,5,8,0,1,1,19
33,浙江,109,0,2246,1,1871,374,1,0,1,0,1,0,1
34,湖北,2,0,68320,0,63808,0,0,0,4512,0,1,0,0
