id,area,asymptomatic,asymptomaticRelative,confirmed,confirmedRelative,crued,curConfirm,curConfirmRelative,curedRelative,died,diedRelative,icuDisable,nativeRelative,overseasInputRelative
1,西藏,0,0,1,0,1,0,0,0,0,0,1,0,0
2,澳门,0,0,79,0,79,0,0,0,0,0,1,0,0
3,青海,0,0,30,0,30,0,0,0,0,0,1,0,0
4,台湾,0,0,19101,143,13742,4508,143,0,851,0,1,0,0
5,香港,0,0,14235,222,12916,1106,186,36,213,0,1,0,0
6,贵州,0,0,161,0,158,1,0,0,2,0,1,0,0
7,吉林,0,0,592,0,586,3,0,0,3,0,1,0,0
8,新疆,22,0,996,0,984,9,-2,2,3,0,1,0,0
9,宁夏,0,0,122,0,122,0,0,0,0,0,1,0,0
10,内蒙古,0,0,1191,0,1190,0,0,0,1,0,1,0,0
11,甘肃,0,0,356,0,354,0,0,0,2,0,1,0,0
12,天津,1,0,1079,3,1012,64,-8,11,3,0,1,2,1
13,山西,0,0,268,0,265,3,0,0,0,0,1,0,0
14,辽宁,17,1,812,0,805,5,0,0,2,0,1,0,0
15,黑龙江,44,0,2064,0,2022,29,0,0,13,0,1,0,0
16,海南,0,0,190,0,184,0,0,0,6,0,1,0,0
17,河北,0,0,1474,0,1451,16,0,0,7,0,1,0,0
18,陕西,0,0,2826,0,2816,7,-4,4,3,0,1,0,0
19,云南,92,3,1884,2,1833,49,0,2,2,0,1,0,2
20,广西,165,5,717,1,583,132,-8,9,2,0,1,1,0
21,福建,23,6,1456,0,1414,41,-3,3,1,0,1,0,0
22,上海,12,0,3806,7,3548,251,-9,16,7,0,1,0,7
23,北京,268,16,1358,1,1244,105,-2,3,9,0,1,1,0
24,江苏,13,0,1630,0,1629,1,0,0,0,0,1,0,0
25,四川,33,9,1374,0,1347,24,-4,4,3,0,1,0,0
26,山东,13,0,1075,0,1044,24,-1,1,7,0,1,0,0
27,江西,2,0,959,0,958,0,0,0,1,0,1,0,0
28,重庆,7,0,613,0,605,2,0,0,6,0,1,0,0
29,安徽,0,0,1009,0,1003,0,0,0,6,0,1,0,0
30,湖南,3,0,1231,1,1214,13,1,0,4,0,1,1,0
31,河南,8,0,2659,2,2186,451,-57,59,22,0,1,0,2
32,广东,107,11,3808,10,3634,166,1,9,8,0,1,6,4
33,浙江,110,2,2238,2,1870,367,1,1,1,0,1,0,2
34,湖北,2,0,68320,0,63807,1,0,0,4512,0,1,0,0
