id,area,asymptomatic,asymptomaticRelative,confirmed,confirmedRelative,crued,curConfirm,curConfirmRelative,curedRelative,died,diedRelative,icuDisable,nativeRelative,overseasInputRelative
1,西藏,0,0,1,0,1,0,0,0,0,0,1,0,0
2,澳门,0,0,79,0,77,2,0,0,0,0,1,0,0
3,青海,0,0,30,0,30,0,0,0,0,0,1,0,0
4,台湾,0,0,17129,59,13742,2537,59,0,850,0,1,0,0
5,香港,0,0,12677,13,12219,245,8,5,213,0,1,0,0
6,贵州,1,0,160,0,157,1,0,0,2,0,1,0,0
7,吉林,0,0,589,0,582,4,-2,2,3,0,1,0,0
8,新疆,0,0,981,0,978,0,0,0,3,0,1,0,0
9,宁夏,1,0,122,0,122,0,0,0,0,0,1,0,0
10,内蒙古,0,0,1191,0,1165,25,-11,11,1,0,1,0,0
11,甘肃,0,0,356,0,354,0,0,0,2,0,1,0,0
12,天津,24,0,597,1,533,61,-1,2,3,0,1,0,1
13,山西,0,0,266,0,265,1,0,0,0,0,1,0,0
14,辽宁,16,0,796,0,789,5,0,0,2,0,1,0,0
15,黑龙江,1,0,2035,0,2022,0,0,0,13,0,1,0,0
16,海南,0,0,190,0,184,0,0,0,6,0,1,0,0
17,河北,0,0,1458,0,1451,0,0,0,7,0,1,0,0
18,陕西,7,0,2530,95,744,1783,87,8,3,0,1,95,0
19,云南,114,5,1823,3,1742,79,0,3,2,0,1,0,3
20,广西,119,5,641,4,392,247,0,4,2,0,1,0,4
21,福建,14,1,1383,9,1325,57,9,0,1,0,1,0,9
22,上海,7,2,3176,29,2942,227,21,8,7,0,1,0,29
23,北京,15,0,1215,0,1194,12,-1,1,9,0,1,0,0
24,江苏,6,0,1626,1,1621,5,1,0,0,0,1,0,1
25,四川,33,0,1329,3,1290,36,1,2,3,0,1,0,3
26,山东,4,0,1047,1,1016,24,-1,2,7,0,1,0,1
27,江西,1,0,959,0,958,0,0,0,1,0,1,0,0
28,重庆,1,0,611,0,604,1,-1,1,6,0,1,0,0
29,安徽,0,0,1009,0,1002,1,0,0,6,0,1,0,0
30,湖南,11,0,1223,1,1195,24,1,0,4,0,1,0,1
31,河南,34,19,1650,6,1596,32,6,0,22,0,1,5,1
32,广东,89,13,3486,13,3354,124,11,2,8,0,1,0,13
33,浙江,111,2,2044,9,1536,507,9,0,1,0,1,8,1
34,湖北,15,7,68317,0,63804,1,0,0,4512,0,1,0,0
