id,area,confirmed,confirmedRelative,crued,curConfirm,curConfirmRelative,curedPercent,curedRelative,died,diedPercent,diedRelative,icuDisable
1,汤加王国,1,0,1,0,0,100.0%,0,0,0.0%,0,1
2,韩国,570417,13547,456126,109515,8199,80.0%,5217,4776,0.8%,131,1
3,帕劳共和国,8,0,8,0,0,100.0%,0,0,0.0%,0,1
4,圣赫勒拿,2,0,2,0,0,100.0%,0,0,0.0%,0,1
5,密克罗尼西亚,1,0,1,0,0,100.0%,0,0,0.0%,0,1
6,萨摩亚独立国,3,0,3,0,0,100.0%,0,0,0.0%,0,1
7,瓦努阿图共和国,6,0,5,0,0,83.3%,0,1,16.7%,0,1
8,马尔维纳斯群岛,83,0,68,15,0,81.9%,0,0,0.0%,0,1
9,马绍尔群岛,4,0,4,0,0,100.0%,0,0,0.0%,0,1
10,瓦利斯和富图纳群岛,454,0,438,9,0,96.5%,0,7,1.5%,0,1
11,所罗门群岛,20,0,20,0,0,100.0%,0,0,0.0%,0,1
12,莱索托,25528,0,14107,10756,0,55.3%,0,665,2.6%,0,1
13,科摩罗,4677,0,4408,117,0,94.2%,0,152,3.2%,0,1
14,塔吉克斯坦,17095,0,16966,5,0,99.2%,0,124,0.7%,0,1
15,海峡群岛,21667,0,19632,1925,0,90.6%,0,110,0.5%,0,1
16,阿拉伯联合酋长国,744438,551,738785,3501,302,99.2%,249,2152,0.3%,0,1
17,也门,10101,5,6973,1152,0,69.0%,5,1976,19.6%,2,1
18,圣皮埃尔,96,0,74,22,0,77.1%,0,0,0.0%,0,1
19,圣多美和普林西比,3735,0,3676,2,0,98.4%,0,57,1.5%,0,1
20,南苏丹,13309,0,12614,562,0,94.8%,0,133,1.0%,0,1
21,马拉维,64741,468,59156,3274,407,91.4%,61,2311,3.6%,0,1
22,布隆迪,21422,0,773,20611,0,3.6%,0,38,0.2%,0,1
23,塞拉利昂,6505,19,4393,1991,19,67.5%,0,121,1.9%,0,1
24,博茨瓦纳,199864,0,192452,4987,0,96.3%,0,2425,1.2%,0,1
25,百慕大,5815,0,5647,62,0,97.1%,0,106,1.8%,0,1
26,英属维尔京群岛,2886,0,2649,198,0,91.8%,0,39,1.4%,0,1
27,安圭拉,1592,0,1521,67,0,95.5%,0,4,0.3%,0,1
28,格林纳达,5919,0,5677,42,0,95.9%,2,200,3.4%,0,1
29,圣基茨和尼维斯,2801,0,2765,8,0,98.7%,0,28,1.0%,0,1
30,特克斯和凯科斯群岛,3172,0,3085,62,0,97.3%,0,25,0.8%,0,1
31,几内亚比绍,6456,1,6289,18,0,97.4%,2,149,2.3%,0,1
32,马里,19306,128,16039,2628,0,83.1%,137,639,3.3%,2,1
33,利比亚,382341,726,370567,6167,0,96.9%,920,5607,1.5%,9,1
34,老挝,99396,1067,7339,91783,1062,7.4%,0,274,0.3%,5,1
35,伯利兹,31246,0,30110,547,0,96.4%,0,589,1.9%,0,1
36,缅甸,528253,170,505395,3638,0,95.7%,247,19220,3.6%,5,1
37,多米尼克,6286,0,5874,370,0,93.4%,0,42,0.7%,0,1
