id,area,asymptomatic,asymptomaticRelative,confirmed,confirmedRelative,crued,curConfirm,curConfirmRelative,curedRelative,died,diedRelative,icuDisable,nativeRelative,overseasInputRelative
1,西藏,0,0,1,0,1,0,0,0,0,0,1,0,0
2,澳门,0,0,79,0,77,2,0,0,0,0,1,0,0
3,青海,0,0,30,0,30,0,0,0,0,0,1,0,0
4,台湾,0,0,17258,103,13742,2666,103,0,850,0,1,0,0
5,香港,0,0,12732,24,12235,284,19,5,213,0,1,0,0
6,贵州,1,0,160,0,157,1,0,0,2,0,1,0,0
7,吉林,0,0,590,0,583,4,-1,1,3,0,1,0,0
8,新疆,0,0,981,0,978,0,0,0,3,0,1,0,0
9,宁夏,1,0,122,0,122,0,0,0,0,0,1,0,0
10,内蒙古,0,0,1191,0,1179,11,-2,2,1,0,1,0,0
11,甘肃,0,0,356,0,354,0,0,0,2,0,1,0,0
12,天津,34,1,615,9,539,73,6,3,3,0,1,0,9
13,山西,0,0,266,0,265,1,0,0,0,0,1,0,0
14,辽宁,21,7,798,2,790,6,2,0,2,0,1,0,2
15,黑龙江,1,0,2035,0,2022,0,0,0,13,0,1,0,0
16,海南,0,0,190,0,184,0,0,0,6,0,1,0,0
17,河北,0,0,1458,0,1451,0,0,0,7,0,1,0,0
18,陕西,6,0,2686,57,843,1840,16,41,3,0,1,57,0
19,云南,120,7,1826,1,1756,68,-5,6,2,0,1,0,1
20,广西,128,1,656,4,408,246,4,0,2,0,1,0,4
21,福建,16,3,1397,1,1328,68,0,1,1,0,1,0,1
22,上海,14,5,3237,24,2968,262,21,3,7,0,1,0,24
23,北京,19,4,1217,1,1196,12,0,1,9,0,1,0,1
24,江苏,7,1,1627,0,1622,5,0,0,0,0,1,0,0
25,四川,31,2,1332,1,1295,34,-2,3,3,0,1,0,1
26,山东,5,1,1049,0,1018,24,0,0,7,0,1,0,0
27,江西,1,0,959,0,958,0,0,0,1,0,1,0,0
28,重庆,1,0,611,0,604,1,0,0,6,0,1,0,0
29,安徽,0,0,1009,0,1003,0,0,0,6,0,1,0,0
30,湖南,12,3,1225,2,1196,25,1,1,4,0,1,0,2
31,河南,6,1,1786,67,1600,164,66,1,22,0,1,65,2
32,广东,114,7,3512,9,3361,143,9,0,8,0,1,0,9
33,浙江,120,2,2062,4,1542,519,4,0,1,0,1,3,1
34,湖北,24,0,68320,1,63804,4,1,0,4512,0,1,0,1
