id,area,asymptomatic,asymptomaticRelative,confirmed,confirmedRelative,crued,curConfirm,curConfirmRelative,curedRelative,died,diedRelative,icuDisable,nativeRelative,overseasInputRelative
1,西藏,0,0,1,0,1,0,0,0,0,0,1,0,0
2,澳门,0,0,79,0,79,0,0,0,0,0,1,0,0
3,青海,0,0,30,0,30,0,0,0,0,0,1,0,0
4,台湾,0,0,18327,218,13742,3734,218,0,851,0,1,0,0
5,香港,0,0,13035,117,12541,281,90,27,213,0,1,0,0
6,贵州,0,0,160,0,158,0,0,0,2,0,1,0,0
7,吉林,0,0,590,0,585,2,0,0,3,0,1,0,0
8,新疆,0,0,981,0,978,0,0,0,3,0,1,0,0
9,宁夏,0,0,122,0,122,0,0,0,0,0,1,0,0
10,内蒙古,0,0,1191,0,1190,0,0,0,1,0,1,0,0
11,甘肃,0,0,356,0,354,0,0,0,2,0,1,0,0
12,天津,16,1,1010,6,664,343,-52,58,3,0,1,5,1
13,山西,0,0,266,0,265,1,0,0,0,0,1,0,0
14,辽宁,38,2,810,0,798,10,-1,1,2,0,1,0,0
15,黑龙江,0,0,2035,0,2022,0,0,0,13,0,1,0,0
16,海南,0,0,190,0,184,0,0,0,6,0,1,0,0
17,河北,0,0,1460,2,1451,2,2,0,7,0,1,2,0
18,陕西,3,0,2826,0,2453,370,-72,72,3,0,1,0,0
19,云南,149,5,1858,5,1798,58,5,0,2,0,1,1,4
20,广西,170,3,694,1,500,192,-3,4,2,0,1,0,1
21,福建,20,0,1451,1,1360,90,-4,5,1,0,1,0,1
22,上海,25,0,3646,13,3223,416,-25,38,7,0,1,0,13
23,北京,80,10,1270,12,1206,55,10,2,9,0,1,12,0
24,江苏,12,2,1629,0,1626,3,-1,1,0,0,1,0,0
25,四川,23,0,1370,4,1322,45,1,3,3,0,1,0,4
26,山东,8,5,1070,5,1037,26,4,1,7,0,1,2,3
27,江西,1,0,959,0,958,0,0,0,1,0,1,0,0
28,重庆,2,0,611,0,605,0,0,0,6,0,1,0,0
29,安徽,2,0,1009,0,1003,0,0,0,6,0,1,0,0
30,湖南,3,0,1230,0,1208,18,-2,2,4,0,1,0,0
31,河南,4,1,2639,1,1696,921,-29,30,22,0,1,1,0
32,广东,106,4,3718,8,3482,228,-2,10,8,0,1,3,5
33,浙江,134,2,2109,6,1842,266,6,0,1,0,1,0,6
34,湖北,12,0,68320,0,63805,3,0,0,4512,0,1,0,0
