id,name,lon,lat,city,area,address,tel
1,万景酒店综合服务点,120.03807203159117,30.249141551155372,杭州市,余杭区,杭州市余杭区五常街道五常大道179号,0571-88737999
2,中泰布鲁克驿家综合服务点,119.89977457459968,30.24536625093915,杭州市,余杭区,杭州市余杭区中泰街道中桥村朱桥庙56号,0571-88680066
3,临平悠泰假日酒店综合服务点,120.31261512595881,30.428410665858056,杭州市,余杭区,杭州市余杭区临平街道东湖中路58号,0571-86221222
4,仁和博望龙悦水庄综合服务点,120.12275008184483,30.45864286474217,杭州市,余杭区,杭州市余杭区仁和街道东塘村东西大道（东塘中学旁）,0571-86309797
5,仓前睿沃智慧酒店综合服务点,120.00183609409913,30.29514305675445,杭州市,余杭区,杭州市余杭区仓前街道良睦路1288号梦想小镇2号楼,0571-88616611
6,分水霞客宾馆综合服务点,119.45295003128419,29.93292197809568,杭州市,桐庐县,杭州市桐庐县分水镇庆云路67号,13175122218
7,半岛度假酒店综合服务点,119.10313702004554,29.592396479381783,杭州市,淳安县,杭州市淳安县千岛湖镇秀水大道1165号,0571-24821111
8,华悦国际酒店综合服务点,120.24762281214245,30.355441358000995,杭州市,下城区,杭州市下城区华丰路160号,18158535272
9,南苑亚朵酒店综合服务点,120.30582142104795,30.415001944108486,杭州市,余杭区,杭州市余杭区南苑街道人民大道369号,0571-89166999/13958036874
10,崇贤迪拜假日酒店综合服务点,120.18679297656769,30.388981259306775,杭州市,余杭区,杭州市余杭区崇贤街道崇杭街111号,0571-86272666
11,建德市凯越大酒店综合服务点,119.2894243827434,29.482453010379242,杭州市,建德市,建德市新安江街道政法路2号,0571-64720323
12,建德市皇爵精品酒店综合服务点,119.32979854421491,29.520689865594207,杭州市,建德市,建德市洋溪街道新安江路丽锦大厦3幢,0571-64720323
13,建德市秋林阁酒店综合服务点,119.22473425892196,29.368442077770656,杭州市,建德市,建德市寿昌大道横峰1号,0571-64720323
14,思耐酒店综合服务点,120.1060517502115,30.2695173276398,杭州市,西湖区,杭州市西湖区灵溪北路21号,0571-87939900
15,星桥布丁严选酒店综合服务点,120.258953,30.400093,杭州市,余杭区,杭州市余杭区星桥街道藕花洲大街西段582号,0571-87800008
16,晟泽酒店综合服务点,119.94828163484968,30.063897295783434,杭州市,余杭区,杭州市余杭区临平振兴路213号,0571-86288666/15382387965
17,朵莱花园酒店综合服务点,120.06220788369436,30.378813184810074,杭州市,余杭区,杭州市余杭区良渚街道莫干山路2297号,0571-88772222/88686628
18,杭州君亭酒店综合服务点,120.17555607294338,30.25605150593478,杭州市,上城区,杭州市上城区解放路221号,0571-28033666
19,杭州富阳天地生态农庄综合服务点,119.8918861047638,30.058703121524957,杭州市,富阳区,杭州市富阳区富春街道青云桥村羊坑垅,0571-62050799
20,杭州求品实业有限公司综合服务点,119.72561018738232,29.80941383495534,杭州市,桐庐县,杭州市桐庐县城南街道东兴路318号,13777588090
21,林泉山庄综合服务点,120.124868,30.200608,杭州市,风景名胜区,西湖风景名胜区九溪路8号,0571-86975708
22,汉庭酒店综合服务点,119.96039483549896,30.265604480441585,杭州市,余杭区,杭州市余杭区余杭街道凤新路360号,13735853139/18058760233
23,王巢酒店综合服务点,119.69335221619076,29.783348114419102,杭州市,桐庐县,杭州市桐庐县云栖西路87号,15381191632
24,瑞莱克斯大酒店综合服务点,120.19919192819971,30.388192625506694,杭州市,拱墅区,杭州市拱墅区临半路108号,0571-56976814
25,百度酒店综合服务点,119.69378270081782,30.221663700136624,杭州市,临安区,杭州市临安区钱王街1585号,0571-23612888
26,秋涛路昊丽酒店综合服务点,120.20749038467035,30.28094110091989,杭州市,江干区,杭州市江干区秋涛北路192号,15057162783
27,维也纳酒店综合服务点,120.29369088310231,30.339617423801755,杭州市,余杭区,杭州市余杭区乔司街道石塘东路1-108,0571-89098999-0
