id,area,confirmed,confirmedRelative,crued,curConfirm,curConfirmRelative,curedPercent,curedRelative,died,diedPercent,diedRelative,icuDisable
1,汤加王国,1,0,0,1,0,0.0%,0,0,0.0%,0,1
2,韩国,420950,3114,378561,39061,1852,89.9%,951,3328,0.8%,24,1
3,帕劳共和国,8,0,8,0,0,100.0%,0,0,0.0%,0,1
4,圣赫勒拿,2,0,2,0,0,100.0%,0,0,0.0%,0,1
5,密克罗尼西亚,1,0,1,0,0,100.0%,0,0,0.0%,0,1
6,萨摩亚独立国,3,0,3,0,0,100.0%,0,0,0.0%,0,1
7,瓦努阿图共和国,6,0,3,2,0,50.0%,0,1,16.7%,0,1
8,马尔维纳斯群岛,72,0,68,4,0,94.4%,0,0,0.0%,0,1
9,马绍尔群岛,4,0,4,0,0,100.0%,0,0,0.0%,0,1
10,瓦利斯和富图纳群岛,445,0,438,0,0,98.4%,0,7,1.6%,0,1
11,所罗门群岛,20,0,20,0,0,100.0%,0,0,0.0%,0,1
12,莱索托,21731,2,13601,7468,0,62.6%,1,662,3.0%,1,1
13,科摩罗,4457,7,4230,77,7,94.9%,0,150,3.4%,0,1
14,塔吉克斯坦,17095,0,16966,5,0,99.2%,0,124,0.7%,0,1
15,海峡群岛,16279,0,14347,1832,0,88.1%,0,100,0.6%,0,1
16,阿拉伯联合酋长国,741500,0,736247,3109,0,99.3%,0,2144,0.3%,0,1
17,也门,9961,6,6767,1255,0,67.9%,27,1939,19.5%,1,1
18,圣皮埃尔,33,0,32,1,0,97.0%,0,0,0.0%,0,1
19,圣多美和普林西比,3731,0,3674,1,0,98.5%,2,56,1.5%,0,1
20,南苏丹,12680,0,12169,378,0,96.0%,0,133,1.0%,0,1
21,马拉维,61865,0,58755,806,0,95.0%,0,2304,3.7%,0,1
22,布隆迪,20332,0,773,19521,0,3.8%,0,38,0.2%,0,1
23,塞拉利昂,6400,4,4393,1886,4,68.6%,0,121,1.9%,0,1
24,博茨瓦纳,194652,0,191529,707,0,98.4%,0,2416,1.2%,0,1
25,百慕大,5724,0,5593,25,0,97.7%,0,106,1.9%,0,1
26,英属维尔京群岛,2765,40,2649,78,39,95.8%,0,38,1.4%,1,1
27,安圭拉,1268,0,1156,109,0,91.2%,0,3,0.2%,0,1
28,格林纳达,5876,7,5619,57,5,95.6%,2,200,3.4%,0,1
29,圣基茨和尼维斯,2767,0,2709,30,0,97.9%,0,28,1.0%,0,1
30,特克斯和凯科斯群岛,3085,9,2997,65,9,97.1%,0,23,0.7%,0,1
31,几内亚比绍,6434,0,6181,107,0,96.1%,0,146,2.3%,0,1
32,马里,16963,27,15008,1361,8,88.5%,18,594,3.5%,1,1
33,利比亚,368392,581,330986,32016,0,89.8%,2120,5390,1.5%,10,1
34,老挝,63159,999,7339,55687,998,11.6%,0,133,0.2%,1,1
35,伯利兹,29682,0,27773,1345,0,93.6%,0,564,1.9%,0,1
36,缅甸,518471,527,491781,7656,0,94.9%,898,19034,3.7%,14,1
37,多米尼克,5642,0,5199,408,0,92.1%,0,35,0.6%,0,1
38,莫桑比克,151492,0,149460,94,0,98.7%,18,1938,1.3%,2,1
39,叙利亚,47331,121,28424,16198,25,60.1%,91,2709,5.7%,5,1
40,马恩岛,10650,52,10174,410,52,95.5%,0,66,0.6%,0,1
41,巴布亚新几内亚,34442,420,32779,1177,22,95.2%,396,486,1.4%,2,1
42,厄立特里亚,7188,19,6965,168,19,96.9%,0,55,0.8%,0,1
43,乌干达,127199,22,97307,26643,11,76.5%,10,3249,2.6%,1,1
44,安哥拉,65033,13,63123,180,0,97.1%,49,1730,2.7%,0,1
45,东帝汶,19819,0,19689,8,0,99.3%,1,122,0.6%,0,1
46,新喀里多尼亚,11909,38,55,11578,38,0.5%,0,276,2.3%,0,1
47,马达加斯加,43672,0,41322,1386,0,94.6%,0,964,2.2%,0,1
48,津巴布韦,133674,9,128465,510,0,96.1%,21,4699,3.5%,0,1
49,佛得角,38331,3,37920,61,0,98.9%,4,350,0.9%,0,1
50,蒙特塞拉特,44,3,40,3,3,90.9%,0,1,2.3%,0,1
51,海地,24950,0,20879,3352,0,83.7%,0,719,2.9%,0,1
52,尼日尔,6851,43,6446,159,0,94.1%,73,246,3.6%,4,1
53,乍得,5105,0,4874,56,0,95.5%,0,175,3.4%,0,1
54,萨尔瓦多,118041,0,101092,13193,0,85.6%,0,3756,3.2%,0,1
55,尼加拉瓜,17023,0,4225,12590,0,24.8%,0,208,1.2%,0,1
56,斐济,52468,15,50855,918,0,96.9%,30,695,1.3%,0,1
57,毛里求斯,18979,0,1854,16885,0,9.8%,0,240,1.3%,0,1
58,赞比亚,210073,0,206316,90,0,98.2%,0,3667,1.7%,0,1
59,吉布提,13501,0,13288,27,0,98.4%,0,186,1.4%,0,1
60,吉尔吉斯斯坦,182884,51,177499,2658,0,97.1%,57,2727,1.5%,4,1
61,巴巴多斯,23944,172,15487,8246,0,64.7%,329,211,0.9%,4,1
62,黑山,155011,547,149427,3331,0,96.4%,971,2253,1.5%,14,1
63,冈比亚,9988,2,9636,10,0,96.5%,2,342,3.4%,1,1
64,格陵兰岛,1188,0,962,226,0,81.0%,0,0,0.0%,0,1
65,贝宁,24846,0,24546,139,0,98.8%,0,161,0.6%,0,1
66,索马里,22969,0,11714,9931,0,51.0%,0,1324,5.8%,0,1
67,坦桑尼亚,26227,0,183,25317,0,0.7%,0,727,2.8%,0,1
