id,city,confirmed,died,crued,confirmedRelative,asymptomaticRelative,asymptomatic,nativeRelative,curConfirm
1,台湾_中国属钓鱼岛,-1,-1,-1,-1,-1,-1,-1,-1
2,台湾_连江县,-1,-1,-1,-1,-1,-1,-1,-1
3,台湾_金门县,-1,-1,-1,-1,-1,-1,-1,-1
4,台湾_新北市,-1,-1,-1,-1,-1,-1,-1,-1
5,台湾_基隆市,-1,-1,-1,-1,-1,-1,-1,-1
6,台湾_台北市,-1,-1,-1,-1,-1,-1,-1,-1
7,台湾_桃园市,-1,-1,-1,-1,-1,-1,-1,-1
8,台湾_新竹市,-1,-1,-1,-1,-1,-1,-1,-1
9,台湾_新竹县,-1,-1,-1,-1,-1,-1,-1,-1
10,台湾_宜兰县,-1,-1,-1,-1,-1,-1,-1,-1
11,台湾_苗栗县,-1,-1,-1,-1,-1,-1,-1,-1
12,台湾_台中市,-1,-1,-1,-1,-1,-1,-1,-1
13,台湾_彰化县,-1,-1,-1,-1,-1,-1,-1,-1
14,台湾_南投县,-1,-1,-1,-1,-1,-1,-1,-1
15,台湾_花莲县,-1,-1,-1,-1,-1,-1,-1,-1
16,台湾_云林县,-1,-1,-1,-1,-1,-1,-1,-1
17,台湾_嘉义市,-1,-1,-1,-1,-1,-1,-1,-1
18,台湾_嘉义县,-1,-1,-1,-1,-1,-1,-1,-1
19,台湾_台南市,-1,-1,-1,-1,-1,-1,-1,-1
20,台湾_高雄市,-1,-1,-1,-1,-1,-1,-1,-1
21,台湾_台东县,-1,-1,-1,-1,-1,-1,-1,-1
22,台湾_屏东县,-1,-1,-1,-1,-1,-1,-1,-1
23,台湾_澎湖县,-1,-1,-1,-1,-1,-1,-1,-1
24,澳门_花地玛堂区,-1,-1,-1,-1,-1,-1,-1,-1
25,澳门_花王堂区,-1,-1,-1,-1,-1,-1,-1,-1
26,澳门_望德堂区,-1,-1,-1,-1,-1,-1,-1,-1
27,澳门_风顺堂区,-1,-1,-1,-1,-1,-1,-1,-1
28,澳门_大堂区,-1,-1,-1,-1,-1,-1,-1,-1
29,澳门_嘉模堂区,-1,-1,-1,-1,-1,-1,-1,-1
30,澳门_路凼填海区,-1,-1,-1,-1,-1,-1,-1,-1
31,澳门_圣方济各堂区,-1,-1,-1,-1,-1,-1,-1,-1
32,香港_北区,-1,-1,-1,-1,-1,-1,-1,-1
33,香港_元朗区,-1,-1,-1,-1,-1,-1,-1,-1
34,香港_屯门区,-1,-1,-1,-1,-1,-1,-1,-1
35,香港_离岛区,-1,-1,-1,-1,-1,-1,-1,-1
36,香港_大埔区,-1,-1,-1,-1,-1,-1,-1,-1
37,香港_沙田区,-1,-1,-1,-1,-1,-1,-1,-1
38,香港_葵青区,-1,-1,-1,-1,-1,-1,-1,-1
39,香港_黄大仙区,-1,-1,-1,-1,-1,-1,-1,-1
40,香港_西贡区,-1,-1,-1,-1,-1,-1,-1,-1
41,香港_观塘区,-1,-1,-1,-1,-1,-1,-1,-1
42,香港_东区,-1,-1,-1,-1,-1,-1,-1,-1
43,香港_九龙城区,-1,-1,-1,-1,-1,-1,-1,-1
44,香港_湾仔区,-1,-1,-1,-1,-1,-1,-1,-1
45,香港_中西区,-1,-1,-1,-1,-1,-1,-1,-1
46,香港_油尖旺区,-1,-1,-1,-1,-1,-1,-1,-1
47,香港_深水埗区,-1,-1,-1,-1,-1,-1,-1,-1
48,香港_荃湾区,-1,-1,-1,-1,-1,-1,-1,-1
49,香港_南区,-1,-1,-1,-1,-1,-1,-1,-1
50,西藏_阿里地区,-1,-1,-1,-1,-1,-1,-1,-1
51,西藏_那曲地区,-1,-1,-1,-1,-1,-1,-1,-1
52,西藏_昌都市,-1,-1,-1,-1,-1,-1,-1,-1
53,西藏_林芝市,-1,-1,-1,-1,-1,-1,-1,-1
54,西藏_山南市,-1,-1,-1,-1,-1,-1,-1,-1
55,西藏_日喀则市,-1,-1,-1,-1,-1,-1,-1,-1
56,西藏_拉萨市,1,0,1,0,0,0,0,0
57,青海_海西蒙古族藏族自治州,-1,-1,-1,-1,-1,-1,-1,-1
58,青海_玉树藏族自治州,-1,-1,-1,-1,-1,-1,-1,-1
59,青海_果洛藏族自治州,-1,-1,-1,-1,-1,-1,-1,-1
60,青海_黄南藏族自治州,-1,-1,-1,-1,-1,-1,-1,-1
61,青海_海南藏族自治州,-1,-1,-1,-1,-1,-1,-1,-1
62,青海_海东市,-1,-1,-1,-1,-1,-1,-1,-1
63,青海_西宁市,26,0,17,0,0,0,0,9
64,青海_海北藏族自治州,3,0,3,0,0,0,0,0
65,贵州_六盘水市,10,1,9,0,0,0,0,0
66,贵州_毕节市,23,0,23,0,0,0,0,0
67,贵州_黔西南布依族苗族自治州,4,0,4,0,0,0,0,0
68,贵州_黔南布依族苗族自治州,17,0,17,0,0,0,0,0
69,贵州_黔东南苗族侗族自治州,10,0,10,0,0,0,0,0
70,贵州_贵阳市,36,1,35,0,0,0,0,0
71,贵州_铜仁市,10,0,10,0,0,0,0,0
72,贵州_遵义市,44,0,44,0,0,0,0,0
73,贵州_安顺市,4,0,4,0,0,0,0,0
74,贵州_贵安新区市,0,0,0,0,0,0,0,0
75,贵州_境外输入,1,0,1,0,0,0,0,0
76,吉林_延边朝鲜族自治州,-1,-1,-1,-1,-1,-1,-1,-1
77,吉林_延边市,5,0,5,0,0,0,0,0
78,吉林_四平市,17,1,16,0,0,0,0,0
79,吉林_通化市,313,1,312,0,0,0,0,0
80,吉林_吉林市,50,1,48,0,0,0,0,1
81,吉林_公主岭市,6,0,6,0,0,0,0,0
82,吉林_松原市,6,0,6,0,0,0,0,0
83,吉林_长春市,150,0,150,0,0,0,0,0
84,吉林_辽源市,7,0,7,0,0,0,0,0
85,吉林_白城市,1,0,1,0,0,0,0,0
86,吉林_梅河口市,1,0,1,0,0,0,0,0
87,吉林_白山市,0,0,0,0,0,0,0,0
88,吉林_境外输入,26,0,22,0,0,0,0,4
89,新疆_阿勒泰地区,-1,-1,-1,-1,-1,-1,-1,-1
90,新疆_塔城地区,-1,-1,-1,-1,-1,-1,-1,-1
91,新疆_哈密市,-1,-1,-1,-1,-1,-1,-1,-1
92,新疆_昌吉回族自治州,-1,-1,-1,-1,-1,-1,-1,-1
93,新疆_克拉玛依市,-1,-1,-1,-1,-1,-1,-1,-1
94,新疆_博尔塔拉蒙古自治州,-1,-1,-1,-1,-1,-1,-1,-1
95,新疆_阿拉尔市,-1,-1,-1,-1,-1,-1,-1,-1
96,新疆_克孜勒苏柯尔克孜自治州,-1,-1,-1,-1,-1,-1,-1,-1
