id,area,asymptomatic,asymptomaticRelative,confirmed,confirmedRelative,crued,curConfirm,curConfirmRelative,curedRelative,died,diedRelative,icuDisable,nativeRelative,overseasInputRelative
1,西藏,0,0,1,0,1,0,0,0,0,0,1,0,0
2,澳门,0,0,79,0,77,2,0,0,0,0,1,0,0
3,青海,0,0,30,0,30,0,0,0,0,0,1,0,0
4,台湾,0,0,17362,104,13742,2770,104,0,850,0,1,0,0
5,香港,0,0,12770,21,12243,314,13,8,213,0,1,0,0
6,贵州,0,0,160,0,157,1,0,0,2,0,1,0,0
7,吉林,0,0,590,0,584,3,-1,1,3,0,1,0,0
8,新疆,0,0,981,0,978,0,0,0,3,0,1,0,0
9,宁夏,0,0,122,0,122,0,0,0,0,0,1,0,0
10,内蒙古,0,0,1191,0,1185,5,0,0,1,0,1,0,0
11,甘肃,0,0,356,0,354,0,0,0,2,0,1,0,0
12,天津,44,2,625,4,541,81,4,0,3,0,1,3,1
13,山西,0,0,266,0,265,1,0,0,0,0,1,0,0
14,辽宁,20,3,800,1,792,6,0,1,2,0,1,0,1
15,黑龙江,1,0,2035,0,2022,0,0,0,13,0,1,0,0
16,海南,0,0,190,0,184,0,0,0,6,0,1,0,0
17,河北,0,0,1458,0,1451,0,0,0,7,0,1,0,0
18,陕西,6,0,2762,30,996,1763,-53,83,3,0,1,30,0
19,云南,124,8,1830,1,1761,67,-1,2,2,0,1,0,1
20,广西,143,9,665,3,418,245,-1,4,2,0,1,0,3
21,福建,16,0,1410,9,1328,81,9,0,1,0,1,0,9
22,上海,22,0,3299,30,2991,301,21,9,7,0,1,0,30
23,北京,28,5,1218,1,1199,10,-1,2,9,0,1,0,1
24,江苏,7,1,1627,0,1622,5,0,0,0,0,1,0,0
25,四川,32,3,1341,8,1299,39,6,2,3,0,1,0,8
26,山东,6,0,1050,1,1018,25,1,0,7,0,1,0,1
27,江西,1,0,959,0,958,0,0,0,1,0,1,0,0
28,重庆,2,0,611,0,605,0,0,0,6,0,1,0,0
29,安徽,0,0,1009,0,1003,0,0,0,6,0,1,0,0
30,湖南,9,1,1228,0,1199,25,-2,2,4,0,1,0,0
31,河南,1,1,1892,71,1602,268,70,1,22,0,1,68,3
32,广东,126,11,3531,10,3375,148,2,8,8,0,1,2,8
33,浙江,120,1,2075,9,1542,532,9,0,1,0,1,2,7
34,湖北,29,0,68320,0,63804,4,0,0,4512,0,1,0,0
