id,area,confirmed,confirmedRelative,crued,curConfirm,curConfirmRelative,curedPercent,curedRelative,died,diedPercent,diedRelative,icuDisable
1,汤加王国,1,0,0,1,0,0.0%,0,0,0.0%,0,1
2,韩国,402775,2125,366089,33528,438,90.9%,1665,3158,0.8%,22,1
3,帕劳共和国,8,0,8,0,0,100.0%,0,0,0.0%,0,1
4,圣赫勒拿,2,0,2,0,0,100.0%,0,0,0.0%,0,1
5,密克罗尼西亚,1,0,1,0,0,100.0%,0,0,0.0%,0,1
6,萨摩亚独立国,3,0,3,0,0,100.0%,0,0,0.0%,0,1
7,瓦努阿图共和国,6,0,3,2,0,50.0%,0,1,16.7%,0,1
8,马尔维纳斯群岛,72,0,68,4,0,94.4%,0,0,0.0%,0,1
9,马绍尔群岛,4,0,4,0,0,100.0%,0,0,0.0%,0,1
10,瓦利斯和富图纳群岛,445,0,438,0,0,98.4%,0,7,1.6%,0,1
11,所罗门群岛,20,0,20,0,0,100.0%,0,0,0.0%,0,1
12,莱索托,21697,0,13163,7873,0,60.7%,0,661,3.0%,0,1
13,科摩罗,4409,4,4187,73,0,95.0%,17,149,3.4%,0,1
14,塔吉克斯坦,17091,0,16965,2,0,99.3%,0,124,0.7%,0,1
15,海峡群岛,15180,526,13691,1389,133,90.2%,393,100,0.7%,0,1
16,阿拉伯联合酋长国,741074,0,735723,3207,0,99.3%,0,2144,0.3%,0,1
17,也门,9936,18,6665,1345,0,67.1%,42,1926,19.4%,3,1
18,圣皮埃尔,32,0,32,0,0,100.0%,0,0,0.0%,0,1
19,圣多美和普林西比,3731,0,3654,21,0,97.9%,0,56,1.5%,0,1
20,南苏丹,12590,32,12169,288,32,96.7%,0,133,1.1%,0,1
21,马拉维,61846,2,58706,838,0,94.9%,19,2302,3.7%,0,1
22,布隆迪,20276,55,773,19465,55,3.8%,0,38,0.2%,0,1
23,塞拉利昂,6396,0,4393,1882,0,68.7%,0,121,1.9%,0,1
24,博茨瓦纳,194129,428,190863,850,137,98.3%,286,2416,1.2%,5,1
25,百慕大,5713,5,5558,49,0,97.3%,14,106,1.9%,0,1
