id,area,confirmed,confirmedRelative,crued,curConfirm,curConfirmRelative,curedPercent,curedRelative,died,diedPercent,diedRelative,icuDisable
1,汤加王国,1,0,1,0,0,100.0%,0,0,0.0%,0,1
2,韩国,589978,7450,469055,115908,3599,79.5%,3773,5015,0.9%,78,1
3,帕劳共和国,8,0,8,0,0,100.0%,0,0,0.0%,0,1
4,圣赫勒拿,2,0,2,0,0,100.0%,0,0,0.0%,0,1
5,密克罗尼西亚,1,0,1,0,0,100.0%,0,0,0.0%,0,1
6,萨摩亚独立国,3,0,3,0,0,100.0%,0,0,0.0%,0,1
7,瓦努阿图共和国,7,1,6,0,0,85.7%,1,1,14.3%,0,1
8,马尔维纳斯群岛,83,0,68,15,0,81.9%,0,0,0.0%,0,1
9,马绍尔群岛,4,0,4,0,0,100.0%,0,0,0.0%,0,1
10,瓦利斯和富图纳群岛,454,0,438,9,0,96.5%,0,7,1.5%,0,1
11,所罗门群岛,20,0,20,0,0,100.0%,0,0,0.0%,0,1
12,莱索托,26004,395,14189,11150,339,54.6%,56,665,2.6%,0,1
13,科摩罗,5123,275,4423,548,267,86.3%,8,152,3.0%,0,1
14,塔吉克斯坦,17095,0,16966,5,0,99.2%,0,124,0.7%,0,1
15,海峡群岛,22876,276,20593,2171,87,90.0%,188,112,0.5%,1,1
16,阿拉伯联合酋长国,746557,665,739616,4787,371,99.1%,294,2154,0.3%,0,1
17,也门,10105,0,7002,1122,0,69.3%,21,1981,19.6%,4,1
18,圣皮埃尔,96,0,74,22,0,77.1%,0,0,0.0%,0,1
19,圣多美和普林西比,3737,0,3676,4,0,98.4%,0,57,1.5%,0,1
20,南苏丹,14002,217,12707,1162,217,90.8%,0,133,0.9%,0,1
21,马拉维,67278,943,59276,5685,942,88.1%,1,2317,3.4%,0,1
22,布隆迪,23009,370,773,22198,370,3.4%,0,38,0.2%,0,1
23,塞拉利昂,6573,15,4393,2059,15,66.8%,0,121,1.8%,0,1
24,博茨瓦纳,204701,0,193454,8822,0,94.5%,0,2425,1.2%,0,1
25,百慕大,5917,0,5659,152,0,95.6%,0,106,1.8%,0,1
26,英属维尔京群岛,2886,0,2649,198,0,91.8%,0,39,1.4%,0,1
27,安圭拉,1629,0,1582,42,0,97.1%,0,5,0.3%,0,1
28,格林纳达,5933,1,5679,54,0,95.7%,1,200,3.4%,0,1
29,圣基茨和尼维斯,2815,1,2769,18,0,98.4%,2,28,1.0%,0,1
30,特克斯和凯科斯群岛,3208,6,3102,80,0,96.7%,11,26,0.8%,1,1
31,几内亚比绍,6458,2,6293,16,0,97.4%,4,149,2.3%,0,1
32,马里,19553,105,16590,2315,0,84.8%,153,648,3.3%,1,1
33,利比亚,384005,561,372336,6034,0,97.0%,609,5635,1.5%,11,1
34,老挝,101865,0,7339,94238,0,7.2%,0,288,0.3%,0,1
