id,area,confirmed,confirmedRelative,crued,curConfirm,curConfirmRelative,curedPercent,curedRelative,died,diedPercent,diedRelative,icuDisable
1,汤加王国,1,0,0,1,0,0.0%,0,0,0.0%,0,1
2,韩国,415425,3212,375755,36396,-2477,90.5%,5660,3274,0.8%,29,1
3,帕劳共和国,8,0,8,0,0,100.0%,0,0,0.0%,0,1
4,圣赫勒拿,2,0,2,0,0,100.0%,0,0,0.0%,0,1
5,密克罗尼西亚,1,0,1,0,0,100.0%,0,0,0.0%,0,1
6,萨摩亚独立国,3,0,3,0,0,100.0%,0,0,0.0%,0,1
7,瓦努阿图共和国,6,0,3,2,0,50.0%,0,1,16.7%,0,1
8,马尔维纳斯群岛,72,0,68,4,0,94.4%,0,0,0.0%,0,1
9,马绍尔群岛,4,0,4,0,0,100.0%,0,0,0.0%,0,1
10,瓦利斯和富图纳群岛,445,0,438,0,0,98.4%,0,7,1.6%,0,1
11,所罗门群岛,20,0,20,0,0,100.0%,0,0,0.0%,0,1
12,莱索托,21726,7,13599,7466,5,62.6%,2,661,3.0%,0,1
13,科摩罗,4440,3,4202,88,0,94.6%,2,150,3.4%,1,1
14,塔吉克斯坦,17095,4,16966,5,3,99.2%,1,124,0.7%,0,1
15,海峡群岛,15692,174,14004,1588,30,89.2%,144,100,0.6%,0,1
16,阿拉伯联合酋长国,741370,0,736081,3145,0,99.3%,0,2144,0.3%,0,1
17,也门,9955,1,6740,1277,0,67.7%,2,1938,19.5%,3,1
18,圣皮埃尔,33,0,32,1,0,97.0%,0,0,0.0%,0,1
19,圣多美和普林西比,3731,0,3669,6,0,98.3%,3,56,1.5%,0,1
20,南苏丹,12638,29,12169,336,29,96.3%,0,133,1.1%,0,1
21,马拉维,61863,3,58755,804,3,95.0%,0,2304,3.7%,0,1
22,布隆迪,20332,11,773,19521,11,3.8%,0,38,0.2%,0,1
23,塞拉利昂,6396,0,4393,1882,0,68.7%,0,121,1.9%,0,1
24,博茨瓦纳,194445,0,191345,684,0,98.4%,0,2416,1.2%,0,1
25,百慕大,5715,1,5579,30,0,97.6%,9,106,1.9%,0,1
26,英属维尔京群岛,2725,0,2649,39,0,97.2%,0,37,1.4%,0,1
27,安圭拉,1268,93,1156,109,31,91.2%,62,3,0.2%,0,1
28,格林纳达,5866,1,5612,54,0,95.7%,3,200,3.4%,0,1
29,圣基茨和尼维斯,2766,0,2701,37,0,97.7%,0,28,1.0%,0,1
