id,area,confirmed,confirmedRelative,crued,curConfirm,curConfirmRelative,curedPercent,curedRelative,died,diedPercent,diedRelative,icuDisable
1,汤加王国,1,0,1,0,0,100.0%,0,0,0.0%,0,1
2,韩国,517271,6977,431606,81412,4082,83.4%,2815,4253,0.8%,80,1
3,帕劳共和国,8,0,8,0,0,100.0%,0,0,0.0%,0,1
4,圣赫勒拿,2,0,2,0,0,100.0%,0,0,0.0%,0,1
5,密克罗尼西亚,1,0,1,0,0,100.0%,0,0,0.0%,0,1
6,萨摩亚独立国,3,0,3,0,0,100.0%,0,0,0.0%,0,1
7,瓦努阿图共和国,6,0,5,0,0,83.3%,0,1,16.7%,0,1
8,马尔维纳斯群岛,83,0,68,15,0,81.9%,0,0,0.0%,0,1
9,马绍尔群岛,4,0,4,0,0,100.0%,0,0,0.0%,0,1
10,瓦利斯和富图纳群岛,454,0,438,9,0,96.5%,0,7,1.5%,0,1
11,所罗门群岛,20,0,20,0,0,100.0%,0,0,0.0%,0,1
12,莱索托,23102,654,13856,8582,647,60.0%,7,664,2.9%,0,1
13,科摩罗,4567,3,4374,42,2,95.8%,1,151,3.3%,0,1
14,塔吉克斯坦,17095,0,16966,5,0,99.2%,0,124,0.7%,0,1
15,海峡群岛,20327,0,18136,2084,0,89.2%,0,107,0.5%,0,1
16,阿拉伯联合酋长国,742802,83,737896,2755,8,99.3%,75,2151,0.3%,0,1
17,也门,10069,13,6942,1156,0,68.9%,4,1971,19.6%,9,1
18,圣皮埃尔,91,0,60,31,0,65.9%,0,0,0.0%,0,1
19,圣多美和普林西比,3733,0,3675,1,0,98.4%,0,57,1.5%,0,1
20,南苏丹,12873,0,12576,164,0,97.7%,0,133,1.0%,0,1
21,马拉维,62265,83,58855,1102,83,94.5%,0,2308,3.7%,0,1
22,布隆迪,20666,0,773,19855,0,3.7%,0,38,0.2%,0,1
23,塞拉利昂,6421,0,4393,1907,0,68.4%,0,121,1.9%,0,1
24,博茨瓦纳,196090,0,192452,1217,0,98.1%,0,2421,1.2%,0,1
25,百慕大,5764,0,5634,24,0,97.7%,0,106,1.8%,0,1
26,英属维尔京群岛,2816,0,2649,129,0,94.1%,0,38,1.3%,0,1
27,安圭拉,1523,0,1434,85,0,94.2%,0,4,0.3%,0,1
28,格林纳达,5915,2,5656,59,1,95.6%,1,200,3.4%,0,1
29,圣基茨和尼维斯,2796,1,2758,10,1,98.6%,0,28,1.0%,0,1
30,特克斯和凯科斯群岛,3137,7,3066,46,7,97.7%,0,25,0.8%,0,1
31,几内亚比绍,6448,0,6283,16,0,97.4%,0,149,2.3%,0,1
32,马里,18591,100,15498,2464,90,83.4%,5,629,3.4%,5,1
33,利比亚,378105,655,363780,8772,0,96.2%,1603,5553,1.5%,13,1
34,老挝,89320,1274,7339,81734,1263,8.2%,0,247,0.3%,11,1
35,伯利兹,31033,0,29609,838,0,95.4%,0,586,1.9%,0,1
36,缅甸,526661,637,503107,4371,0,95.5%,782,19183,3.6%,13,1
37,多米尼克,6233,0,5768,423,0,92.5%,0,42,0.7%,0,1
38,莫桑比克,153674,443,149958,1772,431,97.6%,12,1944,1.3%,0,1
39,叙利亚,49272,88,30473,15985,0,61.8%,100,2814,5.7%,5,1
40,马恩岛,12580,78,11740,773,0,93.3%,135,67,0.5%,0,1
41,巴布亚新几内亚,35927,0,35053,288,0,97.6%,0,586,1.6%,0,1
42,厄立特里亚,7646,13,7428,155,0,97.1%,35,63,0.8%,0,1
43,乌干达,127973,60,97778,26927,40,76.4%,19,3268,2.6%,1,1
44,安哥拉,65404,26,63425,242,26,97.0%,0,1737,2.7%,0,1
45,东帝汶,19829,0,19703,4,0,99.4%,1,122,0.6%,0,1
46,新喀里多尼亚,12379,3,11921,178,0,96.3%,39,280,2.3%,0,1
47,马达加斯加,45794,994,43393,1421,712,94.8%,274,980,2.1%,8,1
48,津巴布韦,167140,3004,129776,32626,2878,77.6%,120,4738,2.8%,6,1
49,佛得角,38503,7,38038,114,0,98.8%,10,351,0.9%,0,1
50,蒙特塞拉特,44,0,42,1,0,95.5%,0,1,2.3%,0,1
51,海地,25744,0,22028,2958,0,85.6%,0,758,2.9%,0,1
52,尼日尔,7154,0,6823,63,0,95.4%,0,268,3.7%,0,1
53,乍得,5701,0,4874,646,0,85.5%,0,181,3.2%,0,1
54,萨尔瓦多,121127,0,104756,12576,0,86.5%,0,3795,3.1%,2,1
55,尼加拉瓜,17328,0,4225,12893,0,24.4%,0,210,1.2%,0,1
56,斐济,52577,0,51157,723,0,97.3%,0,697,1.3%,0,1
57,毛里求斯,22613,152,20962,971,0,92.7%,181,680,3.0%,0,1
58,赞比亚,211077,118,206670,737,53,97.9%,64,3670,1.7%,1,1
59,吉布提,13514,0,13298,27,0,98.4%,0,189,1.4%,1,1
60,吉尔吉斯斯坦,183965,34,179009,2186,0,97.3%,47,2770,1.5%,2,1
61,巴巴多斯,26740,72,24372,2117,0,91.1%,308,251,0.9%,2,1
62,黑山,159788,355,155339,2099,0,97.2%,452,2350,1.5%,3,1
63,冈比亚,10034,0,9641,51,0,96.1%,0,342,3.4%,0,1
64,格陵兰岛,1831,39,1526,305,39,83.3%,0,0,0.0%,0,1
65,贝宁,24897,0,24546,190,0,98.6%,0,161,0.6%,0,1
66,索马里,23074,0,12817,8924,0,55.5%,0,1333,5.8%,0,1
67,坦桑尼亚,26309,0,183,25392,0,0.7%,0,734,2.8%,0,1
68,利比里亚,5833,0,5535,11,0,94.9%,0,287,4.9%,0,1
69,圭亚那合作共和国,38554,0,36639,895,0,95.0%,0,1020,2.6%,0,1
70,马约特,21088,0,2964,17939,0,14.1%,0,185,0.9%,0,1
71,巴哈马,22881,0,21656,517,0,94.6%,0,708,3.1%,0,1
72,乌兹别克斯坦,195747,223,192461,1850,20,98.3%,201,1436,0.7%,2,1
73,瓜德罗普,55284,0,2250,52286,0,4.1%,0,748,1.4%,0,1
